DP,GLR,OilRate
0,10000,0.1
0,17778,0.4
0,25556,0.8
0,33333,1.3
0,41111,2.1
0,48889,3.1
0,56667,4.3
0,64444,6
0,72222,8
0,80000,10.7
1.2,10000,0.8
1.2,17778,1.5
1.2,25556,2.4
1.2,33333,3.5
1.2,41111,4.9
1.2,48889,6.8
1.2,56667,9.1
1.2,64444,12.2
1.2,72222,15.8
1.2,80000,18.6
2.4,10000,2.1
2.4,17778,3.3
2.4,25556,4.9
2.4,33333,6.9
2.4,41111,9.4
2.4,48889,12.7
2.4,56667,15.8
2.4,64444,18.6
2.4,72222,21.3
2.4,80000,24.2
3.7,10000,4.4
3.7,17778,6.5
3.7,25556,9.2
3.7,33333,12.8
3.7,41111,15.9
3.7,48889,18.6
3.7,56667,21.4
3.7,64444,24.3
3.7,72222,27.3
3.7,80000,30.4
4.9,10000,7.7
4.9,17778,11.1
4.9,25556,14.7
4.9,33333,17.7
4.9,41111,20.7
4.9,48889,23.8
4.9,56667,27
4.9,64444,29.7
4.9,72222,32.9
4.9,80000,36.2
6.1,10000,12.7
6.1,17778,16
6.1,25556,19.1
6.1,33333,22.3
6.1,41111,25.7
6.1,48889,29
6.1,56667,32.5
6.1,64444,36
6.1,72222,38.5
6.1,80000,41.8
7.3,10000,16.9
7.3,17778,20.2
7.3,25556,23.7
7.3,33333,27.2
7.3,41111,30.7
7.3,48889,34.3
7.3,56667,38.1
7.3,64444,41.7
7.3,72222,45.2
7.3,80000,48.5
8.6,10000,21.7
8.6,17778,25.1
8.6,25556,28.5
8.6,33333,32.4
8.6,41111,36.2
8.6,48889,40.1
8.6,56667,43.9
8.6,64444,47.5
8.6,72222,51.3
8.6,80000,54.7
9.8,10000,26.2
9.8,17778,29.6
9.8,25556,33.1
9.8,33333,37.3
9.8,41111,41.4
9.8,48889,45.3
9.8,56667,49
9.8,64444,52.6
9.8,72222,56.5
9.8,80000,60.8
11,10000,30.7
11,17778,34.3
11,25556,37.8
11,33333,41.5
11,41111,46
11,48889,49.6
11,56667,53.2
11,64444,57
11,72222,61.3
11,80000,65.9
